datetime,text
2021-01-01 04:16:00+00:00,Please extend GST ANNUAL RETURN FOR F.Y.2018-19 TILL 31.01.2021 @cbic_india @FinMinIndia @ianuragthakur #Extend_Due_Dates_Immediately
2021-01-01 04:55:00+00:00,India fiscal deficit over runs it estimate by 35% led by shrinkage in Industrial output for consecutive 9 months
2021-01-01 05:31:00+00:00,GST Update | Annual Return | Due Date Extension   The due date for filing the GST Annual Return for FY 2019-20 has extended till 28.02.2021.
2021-01-01 07:27:00+00:00,Only IT index and stock are hitting ATH  Income Tax and GST  IT team are hitting LC #incometax
2021-01-01 07:45:00+00:00,Good news for economy. GST Revenue collection for December 2020 recorded all time high since implementation of GST. Collections at 1.15 lk cr
2021-01-01 07:57:00+00:00,"Some good news to #Welcome2021 #GST Revenue collection for December 2020 recorded all time high since implementation of GST ₹ 1,15,174 crore gross GST revenue collected in  December @FinMinIndia @nsitharaman @ianuragthakur"
2021-01-01 08:14:00+00:00,#GST - GST collections touch record high of over Rs 1.15 lakh crore in December 2020 - Finance Ministry #GSTcollection
2021-01-01 08:18:00+00:00,"#GST - Gross GST revenue collected in the month of December 2020 is Rs 1,15,174 crores of which CGST is Rs 21,365 crores, SGST is Rs 27,804 crores, IGST is Rs 57,426 crores and Cess is ₹Rs 8,579 crores (including ₹ 971 crores collected on import of goods) - Finance Ministry"
2021-01-01 08:21:00+00:00,GST Revenue collection for December 2020 recorded all time high since implementation of GST.....We are on the speedy recovery track.....https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1685332#.X-7bfmB2TC9.twitter
2021-01-01 08:41:00+00:00,Boom!  Great news. #GST collection in December at an all-time high of Rs 1.15 lakh crores!  Q3 growth being positive  FY21 contraction restricted to -7% FF22 growth of around 11%   All looks realistic!   #indian #economy #postcovid #recovery
2021-01-01 08:44:00+00:00,"GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 crore gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year. @cbic_india @ianuragthakur"
2021-01-01 08:45:00+00:00,Also twit about Modi Govt tax collection from Petrol and Diesel.  Must be closer to GST collection?  No data here?
2021-01-01 08:51:00+00:00,INDIA'S #GST collection for December 2020 recorded all time high 115000 crs .. Indian economy on high speed.  #ModiHaiToMumkinHai
2021-01-01 09:01:00+00:00,"The gross GST revenue collected in the month of December 2020 rose to ₹1,15,174 crore, an all-time monthly high since the implementation of the new tax regime !!"
2021-01-01 09:18:00+00:00,GST REGIME!                     LEVY 12%             ON FRUIT JUICES  CHARGE 40% GST  ON ALL CARBONATED SWEETENED WATER IRRESPECTIVE OF ADDITION OF FRUIT JUICE OR PULP  TO AVOID MANIPULATION  OF RATE OF GST!             MISSION ANTI-420
2021-01-01 09:22:00+00:00,"Just in | The gross #GST revenue collected in December 2020 hit an all-time high since the introduction of the tax in 2017, at ₹ 1,15,174 crore. This reflects a 12% growth over GST collections in December 2019.  - @tragicosmicomic reports."
2021-01-01 09:32:00+00:00,"Breaking News: GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 crore gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year  @CREDAINational"
2021-01-01 09:38:00+00:00,"GST collections at 115,000 crore look fabulous"
2021-01-01 09:44:00+00:00,Hope LTCG is removed
2021-01-01 10:37:00+00:00,"Good News  GST Revenue collection for December 2020 recorded all time high since implementation of GST. ₹ 1,15,174 Cr gross GST revenue collected in December.  Revenues for December 2020 are 12% higher than the GST revenues in the same month last year  #Welcome2021 #NewYear2021"
2021-01-01 10:38:00+00:00,@RahulGandhi you were right.. @narendramodi Ji has ruined Indian Economy.. GST collections are at all time high.. This is absolutely not acceptable.. I am typing this after smoking what you usually do.  @INCIndia @rssurjewala.. 😂😂
2021-01-01 11:00:00+00:00,"Record GST collection for the month of Dec 2020 of 1,15, 174 crores...India coming Back on track ❤️❤️"
2021-01-01 11:01:00+00:00,"Record GST collection for the month of Dec 2020 of 1,15, 174 crores...India coming Back on track ❤️❤️"
2021-01-01 11:23:00+00:00,"Gross #GST revenue collected in the month of December2020 is Rs 1,15,174 crores of which CGST is Rs 21,365 crores, SGST is Rs 27,804 crores, IGST is Rs 57,426 crores and Cess is ₹Rs 8,579 crores (including ₹ 971 crores collected on import of goods): @ianuragthakur @nsitharaman"
2021-01-01 11:43:00+00:00,"As we close the year, good news coming from the Ministry of Finance about the record GST collection.  India is truly and well on the road to recovery. Congratulations to @nsitharaman ji and her team for their persistence."
2021-01-01 11:59:00+00:00,"GST Revenue collection for December 2020 stands at Rs 1,15,174 crore. 👍👍"
2021-01-01 12:06:00+00:00,Taxation gst returns ect...
2021-01-01 12:17:00+00:00,December 2020 GST collections touch all-time high at Rs 1.15 lakh crore  https://economictimes.indiatimes.com/industry/banking/finance/december-2020-gst-collections-touch-all-time-high-at-rs-1-15-lakh-crore/articleshow/80058495.cms   Download Economic Times App to stay updated with Business News - https://etapp.onelink.me/tOvY/135dde21
2021-01-01 12:52:00+00:00,"They r heartless, they enjoy when people die due to their huridly taken nonsense decisions,let it be DeMo,GST,CAA, Delhi riots last year,Covid 19 n latest being 3 Kala Agri laws, whereby Indian Kisan Anndata r on agitation in open in such a chilling cold n about 45 died. Shame."
2021-01-01 12:55:00+00:00,"Records GST Collection !  Now let @FinMinIndia have huge heart and re introduce one time amenesty scheme for GST returns. Also extend Tax Audit due dt, MCA filing for LLP & Cos.   Govt should look larger picture & not just small revenue from penalties during #Covid @nsitharaman"
2021-01-01 13:42:00+00:00,Now 115174 Crore 🤔  Few market participants think Festivals are gone and #Gst collection and #Nifty will be down in coming months.   Good luck for next month.  Gst collection and Nifty both are at all time high. 🙏🇮🇳  #HappyNewYear2021
2021-01-01 14:25:00+00:00,Record #GST collection.
2021-01-01 14:30:00+00:00,"I fail to undrstnd why Times is bothered about unproductive things like world leaders etc. If u feel Namo is good why cudnt he solve the Farmers problems so far rather than allowing them to suffer bcos of Ego problem?I wl allot zero points for silly dcns like Note bandhi, GST etc"
2021-01-01 14:44:00+00:00,600 + Daily New cases of Covid in Mumbai  The city contribute highest in Tax be in Income Tax or GST  Majority of Corporate yet to Start Audits & MCA compliance  Extend MCA AGM due dates with Tax & Statutory Audit dt to 28 Feb 2021 @nsitharaman @ianuragthakur   RT if agree
2021-01-01 16:02:00+00:00,"#ADV | JOB OPPORTUNITY  We are hiring a dedicated, Hard working and Passionate ACCOUNTANT  Qualification: Graduate with knowledge of Computers including Tally- GST  Experience candidates will be preferred.   Salary: Negotiable   For further details contact 7006279840, 9797701138"
2021-01-01 16:43:00+00:00,"Highest ever #GST collection of Rs 1.15 lakh cr in Dec & being the 3rd consecutive monthly collection of over Rs 1 lakh cr - economy wise, points to our country coming out of slump! And the approval of #COVIDSHIELD vaccine is really the good news, people eagerly awaited. 👍"
2021-01-01 17:12:00+00:00,Now 2.50...GST collection heavy.
2021-01-01 17:44:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New year @dintya15 @rsprasad @CSCegov_ @ChoupalWifi @cscrajasthan @csc @ArunDowan
2021-01-01 17:46:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New Year
2021-01-01 17:46:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New Year
2021-01-01 17:46:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New Year
2021-01-01 17:47:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New Year
2021-01-01 17:47:00+00:00,I request the CSC department to release the payment for the Economic Survey so that the enumerator is paid on the New Year
2021-01-01 17:48:00+00:00,No government gives a fuck about this class! Again will get a big 🔔 in the budget! Interesting to learn from the finance minister how many tax payers have opted the second scheme in the current financial year!
2021-01-01 18:03:00+00:00,"GST Revenue collection for Dec 2020 recorded all time high since implementation of GST  ₹ 1,15,174 cr gross GST revenue collected in  Dec alone"
2021-01-02 00:49:00+00:00,"So bermula lah sesi renovation. Actually budget i x banyak pun, (nanti DM for price haha) so i cakap i nak itu ini within the budget. So end up they said okay thats why i proceed. Harga termasuk dapur and hood tu."
2021-01-02 00:57:00+00:00,the JAVA utilities on IT website are still not updated with the extended due dates.....FYI please  @nsitharaman @IncomeTaxIndia @cbdt @PMOIndia @nsitharamanoffc @SushilModiFORNFILING INCOME TAX RETURN 48 HOURS PASSED BUT NOT UPDATED THANKS FOR #extension
2021-01-02 01:05:00+00:00,Hope they pay income tax from the profits.
2021-01-02 02:16:00+00:00,#DAforGovtservantandpensioners  Now Government collected record GST so government must release stopped DA for government servant and pensioners.
2021-01-02 02:51:00+00:00,Yes largest and richest too in resources . Hope their budget is liberal for TN assembly elections
2021-01-02 03:04:00+00:00,"CBIC enables Form GSTR-9C Offline Utility for the FY 19-2020 on GST Portal.  In order to generate GSTR-9C offline utility go to Downloads, click on Offline Tools then click on GSTR-9C Offline Tool and click download."
2021-01-02 03:13:00+00:00,Tax is Paid only by Poor men of Poor Country. That's why India is always remained Poor.
2021-01-02 03:27:00+00:00,"GST collection in Dec 2020 is the highest ! It is a good sign, people have faith in Modi ji Govt. all the tax paid will go back to people in the form of development  as there are no looters in Modi ji Govt. Thanks to transparent govt. at centre on behalf of citizens of India"
2021-01-02 03:28:00+00:00,"This govt specialises in doing even the right things wrongly. That is what happened with Demonetisation, GST and Farm Reforms! Insufficient consultations, that too mostly with the ill-informed, is the real problem."
2021-01-02 03:33:00+00:00,Will begin a blog on matters pertaining to design policies and the  creative economy. Sharing 12 years experience from thinklab to getting budget tabled via MoF.
2021-01-02 04:10:00+00:00,The government is proposing GST on crypto trading.  It is a long term signal that crypto currency is here to stay and at some point the government's will accept it.  It could be due to other countries accepting it (peer pressure) or users adopting it faster than govt control.
2021-01-02 04:27:00+00:00,"See WB, bengal , punjab . Low gst collection. No industries. These states have been  finished under wrong leadership. Living on other states revenue.They survive due to centre's help. Still talk of federal structure. Left to themselves they will be nowhere."
2021-01-02 04:27:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/
2021-01-02 04:35:00+00:00,"Well, there is huge gold smuggling activity and other cash related activity, which doesn't show up in GST collections"
2021-01-02 04:55:00+00:00,"The fine is peanuts , even lower than Income Tax payable on short term capital gains or speculative income  earned from illegal  Insider Trading . Excellent entrepreneurship."
2021-01-02 05:00:00+00:00,GVM Dropped ...  Budget Pottathaveda Adhigama Agiruchi pola
2021-01-02 05:20:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/ via NaMo App
2021-01-02 05:30:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/ via NaMo App
2021-01-02 05:30:00+00:00,#prasadtechintelugu  Anna naku 20k budget lo smart watch suggest chay Anna or wait chayana konni days
2021-01-02 05:33:00+00:00,How Much Ram Do We Need In a Budget Smartphone?🤷‍♂️ 2GB vs 3GB vs 4GB vs 6GB vs 8GB🤦‍♂️ https://piped.video/uU1LWETnt2g
2021-01-02 05:47:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/
2021-01-02 05:55:00+00:00,"Flyovers get more budget, more budget means .......?"
2021-01-02 06:12:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/ #BJPNewsTrack
2021-01-02 06:31:00+00:00,Farmer should pay income tax if income is more than 10 lakhs .
2021-01-02 07:02:00+00:00,"@PMOIndia sir,  I m ardent supporter of You. Now the cost of Steel has dwindled and steel being the most consumed metal has affected the cost of construction of house for small and medium class. Pls look into this and save the people. This may have contributed to GST recovery."
2021-01-02 07:05:00+00:00,"Thats because in the mollycoddled Punjab there is no concept of right and wrong...they take pride in not paying taxes,thieving electricity, breaking traffic rules,usurping govt land,threatening the humble...living ostentatious lives with no visible means of income...might is fair"
2021-01-02 07:09:00+00:00,GST collections at all-time high of over Rs 1.15 lakh cr in Dec https://www.financialexpress.com/economy/gst-collections-at-all-time-high-of-over-rs-1-15-lakh-cr-in-dec/2162251/ via NaMo App
